"ix","iy","cell_id","lat","long"
33,64,"00330064",39.1929597224214,-84.4421242450275
34,64,"00340064",39.1929615984777,-84.4443834556608
35,64,"00350064",39.1929634309048,-84.4466426664133
36,64,"00360064",39.1929652197028,-84.4489018772822
37,64,"00370064",39.1929669648717,-84.4511610882648
38,64,"00380064",39.1929686664113,-84.4534202993581
39,64,"00390064",39.1929703243219,-84.4556795105595
40,64,"00400064",39.1929719386032,-84.4579387218661
41,64,"00410064",39.1929735092554,-84.460197933275
42,64,"00420064",39.1929750362783,-84.4624571447836
43,64,"00430064",39.1929765196721,-84.4647163563889
44,64,"00440064",39.1929779594367,-84.4669755680883
45,64,"00450064",39.1929793555721,-84.4692347798788
46,64,"00460064",39.1929807080783,-84.4714939917577
47,64,"00470064",39.1929820169554,-84.4737532037221
48,64,"00480064",39.1929832822032,-84.4760124157693
49,64,"00490064",39.1929845038218,-84.4782716278965
50,64,"00500064",39.1929856818111,-84.4805308401008
51,64,"00510064",39.1929868161713,-84.4827900523795
52,64,"00520064",39.1929879069023,-84.4850492647296
53,64,"00530064",39.192988954004,-84.4873084771486
54,64,"00540064",39.1929899574765,-84.4895676896334
55,64,"00550064",39.1929909173198,-84.4918269021814
56,64,"00560064",39.1929918335339,-84.4940861147897
57,64,"00570064",39.1929927061187,-84.4963453274555
58,64,"00580064",39.1929935350743,-84.498604540176
59,64,"00590064",39.1929943204006,-84.5008637529484
60,64,"00600064",39.1929950620977,-84.5031229657699
61,64,"00610064",39.1929957601656,-84.5053821786377
62,64,"00620064",39.1929964146042,-84.507641391549
63,64,"00630064",39.1929970254136,-84.509900604501
64,64,"00640064",39.1929975925937,-84.5121598174908
65,64,"00650064",39.1929981161446,-84.5144190305157
66,64,"00660064",39.1929985960662,-84.5166782435729
67,64,"00670064",39.1929990323586,-84.5189374566595
68,64,"00680064",39.1929994250217,-84.5211966697728
69,64,"00690064",39.1929997740556,-84.5234558829099
70,64,"00700064",39.1930000794602,-84.525715096068
71,64,"00710064",39.1930003412356,-84.5279743092444
72,64,"00720064",39.1930005593817,-84.5302335224362
73,64,"00730064",39.1930007338986,-84.5324927356407
74,64,"00740064",39.1930008647862,-84.534751948855
75,64,"00750064",39.1930009520445,-84.5370111620763
76,64,"00760064",39.1930009956736,-84.5392703753018
77,64,"00770064",39.1930009956734,-84.5415295885286
78,64,"00780064",39.193000952044,-84.5437888017541
79,64,"00790064",39.1930008647853,-84.5460480149754
80,64,"00800064",39.1930007338973,-84.5483072281897
81,64,"00810064",39.1930005593801,-84.5505664413941
82,64,"00820064",39.1930003412337,-84.5528256545859
83,64,"00830064",39.1930000794579,-84.5550848677624
84,64,"00840064",39.192999774053,-84.5573440809205
85,64,"00850064",39.1929994250187,-84.5596032940576
86,64,"00860064",39.1929990323553,-84.5618625071709
87,64,"00870064",39.1929985960625,-84.5641217202575
88,64,"00880064",39.1929981161405,-84.5663809333146
89,64,"00890064",39.1929975925893,-84.5686401463396
90,64,"00900064",39.1929970254088,-84.5708993593294
91,64,"00910064",39.1929964145991,-84.5731585722813
92,64,"00920064",39.1929957601601,-84.5754177851926
93,64,"00930064",39.1929950620919,-84.5776769980604
94,64,"00940064",39.1929943203944,-84.579936210882
95,64,"00950064",39.1929935350677,-84.5821954236544
96,64,"00960064",39.1929927061118,-84.5844546363748
97,64,"00970064",39.1929918335266,-84.5867138490407
98,64,"00980064",39.1929909173122,-84.588973061649
99,64,"00990064",39.1929899574686,-84.5912322741969
100,64,"01000064",39.1929889539957,-84.5934914866818
101,64,"01010064",39.1929879068936,-84.5957506991007
102,64,"01020064",39.1929868161623,-84.5980099114509
103,64,"01030064",39.1929856818018,-84.6002691237296
104,64,"01040064",39.1929845038121,-84.6025283359339
105,64,"01050064",39.1929832821931,-84.604787548061
106,64,"01060064",39.192982016945,-84.6070467601082
107,64,"01070064",39.1929807080676,-84.6093059720727
108,64,"01080064",39.192979355561,-84.6115651839516
109,64,"01090064",39.1929779594253,-84.6138243957421
110,64,"01100064",39.1929765196603,-84.6160836074414
111,64,"01110064",39.1929750362662,-84.6183428190468
112,64,"01120064",39.1929735092429,-84.6206020305553
113,64,"01130064",39.1929719385903,-84.6228612419643
114,64,"01140064",39.1929703243086,-84.6251204532709
115,64,"01150064",39.1929686663978,-84.6273796644722
116,64,"01160064",39.1929669648578,-84.6296388755656
117,64,"01170064",39.1929652196886,-84.6318980865481
118,64,"01180064",39.1929634308902,-84.634157297417
119,64,"01190064",39.1929615984627,-84.6364165081695
120,64,"01200064",39.1929597224061,-84.6386757188028
121,64,"01210064",39.1929578027203,-84.6409349293141
122,64,"01220064",39.1929558394054,-84.6431941397004
123,64,"01230064",39.1929538324613,-84.6454533499592
124,64,"01240064",39.1929517818881,-84.6477125600875
125,64,"01250064",39.1929496876858,-84.6499717700825
126,64,"01260064",39.1929475498544,-84.6522309799415
127,64,"01270064",39.1929453683939,-84.6544901896616
128,64,"01280064",39.1929431433042,-84.65674939924
129,64,"01290064",39.1929408745855,-84.6590086086739
130,64,"01300064",39.1929385622377,-84.6612678179606
131,64,"01310064",39.1929362062608,-84.6635270270972
132,64,"01320064",39.1929338066548,-84.6657862360809
133,64,"01330064",39.1929313634198,-84.6680454449089
134,64,"01340064",39.1929288765557,-84.6703046535783
135,64,"01350064",39.1929263460625,-84.6725638620865
136,64,"01360064",39.1929237719403,-84.6748230704305
137,64,"01370064",39.192921154189,-84.6770822786077
138,64,"01380064",39.1929184928087,-84.679341486615
139,64,"01390064",39.1929157877994,-84.6816006944499
140,64,"01400064",39.1929130391611,-84.6838599021094
141,64,"01410064",39.1929102468937,-84.6861191095908
142,64,"01420064",39.1929074109974,-84.6883783168912
143,64,"01430064",39.192904531472,-84.6906375240079
144,64,"01440064",39.1929016083177,-84.692896730938
145,64,"01450064",39.1928986415344,-84.6951559376788
146,64,"01460064",39.1928956311221,-84.6974151442273
147,64,"01470064",39.1928925770808,-84.6996743505809
148,64,"01480064",39.1928894794106,-84.7019335567367
149,64,"01490064",39.1928863381115,-84.704192762692
150,64,"01500064",39.1928831531834,-84.7064519684438
151,64,"01510064",39.1928799246264,-84.7087111739894
152,64,"01520064",39.1928766524404,-84.7109703793261
1,65,"00010065",39.1951266524937,-84.3698295845025
2,65,"00020065",39.1951299247321,-84.3720887898387
3,65,"00030065",39.1951331533408,-84.3743479953838
4,65,"00040065",39.19513633832,-84.3766072011352
5,65,"00050065",39.1951394796695,-84.37886640709
6,65,"00060065",39.1951425773893,-84.3811256132454
7,65,"00070065",39.1951456314795,-84.3833848195986
8,65,"00080065",39.19514864194,-84.3856440261468
9,65,"00090065",39.1951516087709,-84.3879032328872
10,65,"00100065",39.195154531972,-84.3901624398169
11,65,"00110065",39.1951574115435,-84.3924216469333
12,65,"00120065",39.1951602474853,-84.3946808542334
13,65,"00130065",39.1951630397974,-84.3969400617145
14,65,"00140065",39.1951657884797,-84.3991992693737
15,65,"00150065",39.1951684935323,-84.4014584772083
16,65,"00160065",39.1951711549552,-84.4037176852155
17,65,"00170065",39.1951737727484,-84.4059768933924
18,65,"00180065",39.1951763469118,-84.4082361017362
19,65,"00190065",39.1951788774454,-84.4104953102442
20,65,"00200065",39.1951813643493,-84.4127545189135
21,65,"00210065",39.1951838076234,-84.4150137277413
22,65,"00220065",39.1951862072678,-84.4172729367248
23,65,"00230065",39.1951885632824,-84.4195321458612
24,65,"00240065",39.1951908756671,-84.4217913551478
25,65,"00250065",39.1951931444221,-84.4240505645816
26,65,"00260065",39.1951953695473,-84.42630977416
27,65,"00270065",39.1951975510427,-84.42856898388
28,65,"00280065",39.1951996889083,-84.4308281937389
29,65,"00290065",39.195201783144,-84.4330874037339
30,65,"00300065",39.19520383375,-84.4353466138621
31,65,"00310065",39.195205840726,-84.4376058241209
32,65,"00320065",39.1952078040723,-84.4398650345072
33,65,"00330065",39.1952097237887,-84.4421242450185
34,65,"00340065",39.1952115998753,-84.4443834556517
35,65,"00350065",39.195213432332,-84.4466426664043
36,65,"00360065",39.1952152211589,-84.4489018772732
37,65,"00370065",39.1952169663559,-84.4511610882558
38,65,"00380065",39.195218667923,-84.4534202993492
39,65,"00390065",39.1952203258603,-84.4556795105507
40,65,"00400065",39.1952219401677,-84.4579387218573
41,65,"00410065",39.1952235108452,-84.4601979332664
42,65,"00420065",39.1952250378928,-84.462457144775
43,65,"00430065",39.1952265213105,-84.4647163563805
44,65,"00440065",39.1952279610984,-84.4669755680799
45,65,"00450065",39.1952293572563,-84.4692347798706
46,65,"00460065",39.1952307097844,-84.4714939917496
47,65,"00470065",39.1952320186825,-84.4737532037142
48,65,"00480065",39.1952332839507,-84.4760124157615
49,65,"00490065",39.195234505589,-84.4782716278888
50,65,"00500065",39.1952356835974,-84.4805308400933
51,65,"00510065",39.1952368179759,-84.4827900523721
52,65,"00520065",39.1952379087245,-84.4850492647225
53,65,"00530065",39.1952389558431,-84.4873084771416
54,65,"00540065",39.1952399593318,-84.4895676896266
55,65,"00550065",39.1952409191906,-84.4918269021748
56,65,"00560065",39.1952418354194,-84.4940861147833
57,65,"00570065",39.1952427080183,-84.4963453274493
58,65,"00580065",39.1952435369873,-84.49860454017
59,65,"00590065",39.1952443223263,-84.5008637529427
60,65,"00600065",39.1952450640354,-84.5031229657644
61,65,"00610065",39.1952457621145,-84.5053821786324
62,65,"00620065",39.1952464165637,-84.5076413915439
63,65,"00630065",39.1952470273829,-84.5099006044961
64,65,"00640065",39.1952475945722,-84.5121598174862
65,65,"00650065",39.1952481181316,-84.5144190305113
66,65,"00660065",39.1952485980609,-84.5166782435687
67,65,"00670065",39.1952490343604,-84.5189374566556
68,65,"00680065",39.1952494270298,-84.5211966697691
69,65,"00690065",39.1952497760693,-84.5234558829065
70,65,"00700065",39.1952500814789,-84.5257150960649
71,65,"00710065",39.1952503432585,-84.5279743092416
72,65,"00720065",39.1952505614081,-84.5302335224336
73,65,"00730065",39.1952507359278,-84.5324927356384
74,65,"00740065",39.1952508668175,-84.5347519488529
75,65,"00750065",39.1952509540772,-84.5370111620744
76,65,"00760065",39.195250997707,-84.5392703753002
77,65,"00770065",39.1952509977068,-84.5415295885273
78,65,"00780065",39.1952509540767,-84.5437888017531
79,65,"00790065",39.1952508668166,-84.5460480149746
80,65,"00800065",39.1952507359265,-84.5483072281891
81,65,"00810065",39.1952505614065,-84.5505664413938
82,65,"00820065",39.1952503432565,-84.5528256545859
83,65,"00830065",39.1952500814766,-84.5550848677626
84,65,"00840065",39.1952497760667,-84.557344080921
85,65,"00850065",39.1952494270268,-84.5596032940583
86,65,"00860065",39.195249034357,-84.5618625071719
87,65,"00870065",39.1952485980572,-84.5641217202587
88,65,"00880065",39.1952481181275,-84.5663809333161
89,65,"00890065",39.1952475945678,-84.5686401463413
90,65,"00900065",39.1952470273782,-84.5708993593313
91,65,"00910065",39.1952464165586,-84.5731585722835
92,65,"00920065",39.1952457621091,-84.575417785195
93,65,"00930065",39.1952450640296,-84.5776769980631
94,65,"00940065",39.1952443223201,-84.5799362108848
95,65,"00950065",39.1952435369808,-84.5821954236574
96,65,"00960065",39.1952427080115,-84.5844546363782
97,65,"00970065",39.1952418354122,-84.5867138490442
98,65,"00980065",39.195240919183,-84.5889730616527
99,65,"00990065",39.1952399593239,-84.5912322742008
100,65,"01000065",39.1952389558348,-84.5934914866859
101,65,"01010065",39.1952379087159,-84.595750699105
102,65,"01020065",39.1952368179669,-84.5980099114553
103,65,"01030065",39.1952356835881,-84.6002691237342
104,65,"01040065",39.1952345055794,-84.6025283359386
105,65,"01050065",39.1952332839407,-84.604787548066
106,65,"01060065",39.1952320186721,-84.6070467601133
107,65,"01070065",39.1952307097736,-84.6093059720779
108,65,"01080065",39.1952293572452,-84.6115651839569
109,65,"01090065",39.1952279610869,-84.6138243957475
110,65,"01100065",39.1952265212988,-84.616083607447
111,65,"01110065",39.1952250378807,-84.6183428190524
112,65,"01120065",39.1952235108327,-84.6206020305611
113,65,"01130065",39.1952219401548,-84.6228612419701
114,65,"01140065",39.1952203258471,-84.6251204532768
115,65,"01150065",39.1952186679095,-84.6273796644782
116,65,"01160065",39.195216966342,-84.6296388755716
117,65,"01170065",39.1952152211446,-84.6318980865542
118,65,"01180065",39.1952134323174,-84.6341572974232
119,65,"01190065",39.1952115998603,-84.6364165081757
120,65,"01200065",39.1952097237734,-84.638675718809
121,65,"01210065",39.1952078040567,-84.6409349293202
122,65,"01220065",39.19520584071,-84.6431941397066
123,65,"01230065",39.1952038337336,-84.6454533499653
124,65,"01240065",39.1952017831273,-84.6477125600936
125,65,"01250065",39.1951996888912,-84.6499717700886
126,65,"01260065",39.1951975510253,-84.6522309799474
127,65,"01270065",39.1951953695295,-84.6544901896675
128,65,"01280065",39.195193144404,-84.6567493992458
129,65,"01290065",39.1951908756487,-84.6590086086797
130,65,"01300065",39.1951885632635,-84.6612678179662
131,65,"01310065",39.1951862072486,-84.6635270271026
132,65,"01320065",39.1951838076039,-84.6657862360862
133,65,"01330065",39.1951813643294,-84.668045444914
134,65,"01340065",39.1951788774252,-84.6703046535833
135,65,"01350065",39.1951763468912,-84.6725638620912
136,65,"01360065",39.1951737727274,-84.6748230704351
