OBJECTID,TOWNSHIP,DISTZONE,ZONING,ZONE
332,CINCINNATI,CINCINNATI,RM-2.0,
333,CINCINNATI,CINCINNATI,SF-4,
334,CINCINNATI,CINCINNATI,PR,
335,CINCINNATI,CINCINNATI,SF-10,
336,CINCINNATI,CINCINNATI,SF-4,
337,CINCINNATI,CINCINNATI,PR,
338,CINCINNATI,CINCINNATI,RMX,
339,CINCINNATI,CINCINNATI,PR,
340,CINCINNATI,CINCINNATI,OG,
341,CINCINNATI,CINCINNATI,RM-1.2,
342,CINCINNATI,CINCINNATI,PR,
384,CINCINNATI,CINCINNATI,CN-M,
385,CINCINNATI,CINCINNATI,RM-0.7,
386,CINCINNATI,CINCINNATI,CN-M,
387,CINCINNATI,CINCINNATI,SF-6,
388,CINCINNATI,CINCINNATI,RMX,
389,CINCINNATI,CINCINNATI,SF-4,
390,CINCINNATI,CINCINNATI,SF-4,
391,CINCINNATI,CINCINNATI,SF-6,
392,CINCINNATI,CINCINNATI,SF-4,
393,CINCINNATI,CINCINNATI,PR,
394,CINCINNATI,CINCINNATI,CC-A,
395,CINCINNATI,CINCINNATI,OL,
396,CINCINNATI,CINCINNATI,MG,
397,CINCINNATI,CINCINNATI,RM-1.2,
398,CINCINNATI,CINCINNATI,RM-1.2,
359,CINCINNATI,CINCINNATI,CC-A,
360,CINCINNATI,CINCINNATI,PR,
361,CINCINNATI,CINCINNATI,RM-1.2,
362,CINCINNATI,CINCINNATI,SF-6,
363,CINCINNATI,CINCINNATI,SF-4,
364,CINCINNATI,CINCINNATI,RM-2.0,
365,CINCINNATI,CINCINNATI,SF-10,
366,CINCINNATI,CINCINNATI,SF-6,
367,CINCINNATI,CINCINNATI,RMX,
368,CINCINNATI,CINCINNATI,PR,
369,CINCINNATI,CINCINNATI,IR,
370,CINCINNATI,CINCINNATI,RM-2.0,
371,CINCINNATI,CINCINNATI,PR,
372,CINCINNATI,CINCINNATI,RM-2.0,
373,CINCINNATI,CINCINNATI,PR,
374,CINCINNATI,CINCINNATI,SF-4,
375,CINCINNATI,CINCINNATI,PR,
376,CINCINNATI,CINCINNATI,RM-0.7,
377,CINCINNATI,CINCINNATI,CC-M,
378,CINCINNATI,CINCINNATI,RM-1.2,
379,CINCINNATI,CINCINNATI,CN-M,
380,CINCINNATI,CINCINNATI,CC-A,
381,CINCINNATI,CINCINNATI,SF-2,
382,CINCINNATI,CINCINNATI,OL,
383,CINCINNATI,CINCINNATI,ML,
416,CINCINNATI,CINCINNATI,SF-2,
417,CINCINNATI,CINCINNATI,OL,
418,CINCINNATI,CINCINNATI,RF-R,
419,CINCINNATI,CINCINNATI,PR,
420,CINCINNATI,CINCINNATI,RM-2.0,
421,CINCINNATI,CINCINNATI,SF-4,
422,CINCINNATI,CINCINNATI,PR,
423,CINCINNATI,CINCINNATI,CC-A,
424,CINCINNATI,CINCINNATI,PR,
399,CINCINNATI,CINCINNATI,CC-M,
400,CINCINNATI,CINCINNATI,SF-6,
401,CINCINNATI,CINCINNATI,DD,
402,CINCINNATI,CINCINNATI,PR,
403,CINCINNATI,CINCINNATI,CN-P,
404,CINCINNATI,CINCINNATI,RM-2.0,
405,CINCINNATI,CINCINNATI,RMX,
406,CINCINNATI,CINCINNATI,RF-R,
407,CINCINNATI,CINCINNATI,RMX,
408,CINCINNATI,CINCINNATI,OG,
409,CINCINNATI,CINCINNATI,RM-0.7,
410,CINCINNATI,CINCINNATI,MG,
411,CINCINNATI,CINCINNATI,PR,
412,CINCINNATI,CINCINNATI,SF-20,
413,CINCINNATI,CINCINNATI,SF-2,
