"cell_id","lat_cell","long_cell","access","dblprk","dnotyld","jywalk","lvisib","lwfws","nobikef","noswlk","other","prkint","prkswlk","speed","vrrlss","wlksig","xwalk","assist","bikes","drives","other","walks","n_qst"
300044,39.1479538069301,-84.4353466140515,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
300045,39.1502038082121,-84.4353466140425,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,6
300046,39.1524538094936,-84.4353466140335,1,0,0,0,0,0,0,0,3,0,0,4,1,0,0,1,0,3,1,4,9
300047,39.1547038107746,-84.4353466140244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
300056,39.174953822282,-84.4353466139433,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2
300061,39.1862038286579,-84.4353466138982,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
310028,39.1119557921215,-84.4376058244553,0,0,0,0,1,0,1,0,1,0,0,5,1,0,0,0,1,2,1,5,14
310029,39.1142057934441,-84.4376058244463,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2
310030,39.1164557947662,-84.4376058244373,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,6
310031,39.1187057960878,-84.4376058244282,0,0,1,0,1,0,1,0,1,0,0,1,2,0,0,0,1,4,0,2,10
310043,39.1457058119083,-84.4376058243198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
310044,39.1479558132234,-84.4376058243107,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,5,5
310045,39.150205814538,-84.4376058243017,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,5
310046,39.1524558158522,-84.4376058242927,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
310048,39.156955818479,-84.4376058242746,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
310058,39.1794558315829,-84.4376058241842,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
310059,39.1817058328906,-84.4376058241751,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
310062,39.1884558368106,-84.437605824148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
320030,39.1164577569962,-84.4398650348241,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2
320035,39.1277077637597,-84.4398650347789,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,4
320039,39.1367077691612,-84.4398650347427,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7
320040,39.1389577705104,-84.4398650347336,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,15
320044,39.1479577759017,-84.4398650346974,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,3
320045,39.1502077772483,-84.4398650346884,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,2,6
