"cell_id","lat_cell","long_cell","sum_cost","num_events"
720054,39.1705005390751,-84.5302335224624,20.164,2
720055,39.1727505411092,-84.5302335224598,0.304,1
720062,39.1885005553266,-84.5302335224415,33.06,7
720063,39.1907505573545,-84.5302335224389,40.328,4
720064,39.1930005593817,-84.5302335224362,73.996,13
720065,39.1952505614081,-84.5302335224336,20.164,2
720066,39.1975005634337,-84.530233522431,50.41,5
720067,39.1997505654586,-84.5302335224284,80.656,8
720070,39.2065005715285,-84.5302335224205,162.719,18
720071,39.2087505735503,-84.5302335224179,214.232,24
720072,39.2110005755713,-84.5302335224153,134.375,16
720073,39.2132505775915,-84.5302335224127,194.513,24
730021,39.0962506459085,-84.532492735742,11.185,2
730022,39.0985006479711,-84.5324927357397,163.327,20
730023,39.1007506500329,-84.5324927357373,538.871,60
730024,39.1030006520939,-84.5324927357349,1202.643,137
730025,39.1052506541541,-84.5324927357326,1027.976,123
730026,39.1075006562136,-84.5324927357303,1873.492,213
730027,39.1097506582723,-84.5324927357279,2399.843,281
730028,39.1120006603302,-84.5324927357255,1257.811,136
730029,39.1142506623873,-84.5324927357232,2290.204,264
730030,39.1165006644437,-84.5324927357208,1846.561,212
730031,39.1187506664993,-84.5324927357185,360.096,43
730032,39.1210006685541,-84.5324927357161,797.185,93
730033,39.1232506706081,-84.5324927357138,1721.527,202
730034,39.1255006726614,-84.5324927357114,1706.911,204
730035,39.1277506747138,-84.5324927357091,1218.732,151
730036,39.1300006767656,-84.5324927357067,1182.363,141
730037,39.1322506788165,-84.5324927357043,1026.525,123
730038,39.1345006808666,-84.532492735702,1997.996,216
730039,39.136750682916,-84.5324927356996,3094.717,362
730040,39.1390006849646,-84.5324927356973,4665.414,532
730041,39.1412506870125,-84.5324927356949,930.139,116
730042,39.1435006890595,-84.5324927356926,157.331,23
730043,39.1457506911058,-84.5324927356902,30.55,4
730044,39.1480006931513,-84.5324927356878,176.718,24
730045,39.150250695196,-84.5324927356855,336.128,39
730046,39.15250069724,-84.5324927356831,113.108,13
730047,39.1547506992832,-84.5324927356808,30.55,4
730048,39.1570007013256,-84.5324927356784,479.977,54
730049,39.1592507033672,-84.5324927356761,648.628,81
730050,39.161500705408,-84.5324927356737,518.24,57
730051,39.1637507074481,-84.5324927356714,175.261,25
730052,39.1660007094874,-84.532492735669,81.9,10
730053,39.168250711526,-84.5324927356666,50.41,5
730054,39.1705007135637,-84.5324927356643,20.468,3
730055,39.1727507156007,-84.5324927356619,10.082,1
730056,39.1750007176369,-84.5324927356596,40.328,4
730064,39.1930007338986,-84.5324927356407,505.789,54
730065,39.1952507359278,-84.5324927356384,100.961,11
730066,39.1975007379562,-84.532492735636,30.55,4
730067,39.1997507399839,-84.5324927356336,71.182,9
730069,39.2042507440369,-84.5324927356289,293.481,30
730070,39.2065007460622,-84.5324927356265,234.346,29
730071,39.2087507480868,-84.5324927356242,376.597,44
730072,39.2110007501106,-84.5324927356218,183.469,23
730073,39.2132507521336,-84.5324927356195,126.59,21
730074,39.2155007541559,-84.5324927356171,1843.443,207
