"cell_id","lat","long","neighborhood","dist","stop_id","lat_stop","long_stop","n_object"
740025,39.1052507849587,-84.5347519489368,"Lower Price Hill",0.00137289173482557,2853186,39.104097,-84.535496,8
750025,39.1052508721617,-84.5370111621479,"Lower Price Hill",0.0010310893512546,2100090,39.10422,-84.53699,8
760025,39.1052509157631,-84.5392703753633,"Lower Price Hill",0.00116252733365441,1330940,39.104183,-84.538811,8
770025,39.1052509157629,-84.5415295885801,"Lower Price Hill",0.00292081631475767,1330940,39.104183,-84.538811,8
780025,39.1052508721612,-84.5437888017954,"Lower Price Hill",0.00472284574281259,2852922,39.1077,-84.547827,5
790025,39.1052507849578,-84.5460480150065,"Lower Price Hill",0.00302711775951984,2852922,39.1077,-84.547827,5
800025,39.1052506541529,-84.5483072282107,"Lower Price Hill",0.00232364409170613,2852923,39.107574,-84.54827,6
810025,39.1052504797464,-84.5505664414051,"Lower Price Hill",0.00111955871578789,2851027,39.105251,-84.551686,8
820025,39.1052502617382,-84.5528256545869,"Lower Price Hill",0.000210920710746936,242,39.105339,-84.553017,7
830025,39.1052500001285,-84.5550848677534,"East Price Hill",0.00113569942252908,1330880,39.106372,-84.554909,2
840025,39.1052496949173,-84.5573440809016,"East Price Hill",0.000639821078604378,2320250,39.105593,-84.557884,5
850025,39.1052493461044,-84.559603294029,"East Price Hill",0.000475357356612508,2850827,39.10569,-84.559425,5
860025,39.10524895369,-84.5618625071325,"East Price Hill",0.000859463183170217,1100580,39.105554,-84.561059,5
870025,39.1052485176739,-84.5641217202095,"East Price Hill",0.00204663210886883,2850189,39.103858,-84.56262,5
880025,39.1052480380563,-84.5663809332572,"East Price Hill",0.000343662101231467,1100450,39.105567,-84.566253,5
890025,39.1052475148372,-84.5686401462727,"East Price Hill",0.000746001992254142,2320380,39.105868,-84.568226,5
900025,39.1052469480164,-84.5708993592533,"East Price Hill",0.000671175559611068,1320490,39.105901,-84.57105,5
910025,39.1052463375941,-84.5731585721961,"East Price Hill",0.000854971957645542,1100410,39.106077,-84.573361,5
920025,39.1052456835701,-84.5754177850984,"East Price Hill",0.00108782362928245,1320470,39.106333,-84.575451,5
930025,39.1052449859447,-84.5776769979574,"East Price Hill",0.00160892135539016,2320430,39.106582,-84.576782,5
940025,39.1052442447176,-84.5799362107703,"East Price Hill",0.0015882080251442,1100380,39.106552,-84.579035,5
950025,39.105243459889,-84.5821954235343,"West Price HIll",0.00170116070857495,1320440,39.106737,-84.581381,5
960025,39.1052426314588,-84.5844546362466,"West Price HIll",0.00182900050529481,1100350,39.106975,-84.583868,5
970025,39.105241759427,-84.5867138489044,"West Price HIll",0.00205498514983499,1320410,39.107133,-84.58591,5
