"cell_id","lat_cell","long_cell","animals_insects","building related","construction","food","others","police property","service complaint","street_sidewalk","traffic_signal","trash","trees_plants","water leak","zoning_parking","n_request"
100020,39.0939045103446,-84.3901624400645,0,9,0,0,13,0,1,0,0,24,5,0,1,53
100021,39.0961545108292,-84.390162440059,0,0,0,0,0,0,0,1,0,0,0,0,0,1
100023,39.1006545117979,-84.390162440048,0,0,0,0,6,0,1,17,0,35,0,0,0,59
100024,39.102904512282,-84.3901624400425,0,14,0,0,21,0,0,34,0,47,5,0,9,130
100025,39.1051545127659,-84.390162440037,0,8,1,1,61,1,1,51,0,122,13,3,0,262
100026,39.1074045132496,-84.3901624400315,1,1,0,0,6,0,0,2,0,63,0,0,0,73
100045,39.1501545224054,-84.390162439927,1,12,0,0,36,4,4,19,0,208,1,0,1,286
100046,39.1524045228854,-84.3901624399215,7,8,0,0,34,1,1,43,0,169,4,1,0,268
100047,39.1546545233653,-84.390162439916,3,19,0,0,70,2,0,22,0,151,5,0,0,272
100048,39.156904523845,-84.3901624399105,0,26,0,0,79,2,2,11,1,238,14,7,2,382
100049,39.1591545243245,-84.390162439905,4,43,0,0,98,0,1,32,2,217,16,0,3,416
100050,39.1614045248039,-84.3901624398995,0,28,0,0,62,0,2,19,0,88,9,0,0,208
100051,39.163654525283,-84.390162439894,5,30,0,0,37,3,2,14,0,229,22,1,1,344
100052,39.165904525762,-84.3901624398885,12,35,0,0,58,0,0,29,0,145,5,0,0,284
110014,39.0804073846118,-84.3924216472305,1,3,0,0,17,0,0,4,1,69,3,0,1,99
110015,39.0826573851449,-84.3924216472247,0,2,1,0,20,0,2,20,0,178,0,0,0,223
110016,39.0849073856778,-84.3924216472189,0,6,0,0,38,4,2,18,0,98,4,0,1,171
110017,39.0871573862104,-84.3924216472131,0,13,0,0,34,0,2,8,0,39,10,0,0,106
110018,39.0894073867429,-84.3924216472072,0,7,0,0,15,2,3,6,2,119,5,0,0,159
110019,39.0916573872752,-84.3924216472014,0,6,0,0,18,1,0,6,0,58,4,0,1,94
110020,39.0939073878072,-84.3924216471956,0,6,0,0,23,2,5,10,0,99,5,1,0,151
110023,39.1006573894022,-84.3924216471781,0,0,0,0,1,0,0,0,0,13,0,0,0,14
110024,39.1029073899335,-84.3924216471723,0,7,0,0,20,2,0,4,0,72,3,0,0,108
110025,39.1051573904646,-84.3924216471665,1,1,0,0,13,0,0,35,0,5,0,2,0,57
110045,39.150157401044,-84.3924216470499,0,16,0,0,26,10,0,37,0,193,6,0,1,289
110046,39.1524074015709,-84.3924216470441,11,25,1,1,95,3,4,57,0,252,22,1,1,473
110047,39.1546574020975,-84.3924216470382,0,5,1,0,31,0,0,10,0,59,3,0,0,109
110048,39.156907402624,-84.3924216470324,6,46,1,0,125,4,10,44,1,302,26,1,1,567
110049,39.1591574031503,-84.3924216470266,4,28,0,0,86,1,0,27,0,60,11,0,0,217
110050,39.1614074036764,-84.3924216470208,2,44,1,8,135,1,4,45,0,112,15,0,1,368
110051,39.1636574042023,-84.3924216470149,10,36,0,0,119,6,4,67,2,223,40,0,3,510
110052,39.1659074047279,-84.3924216470091,3,20,0,0,68,3,1,20,0,186,13,0,0,314
120014,39.0804102181971,-84.3946808545465,1,4,0,0,8,0,0,3,0,31,1,0,0,48
120015,39.0826602187768,-84.3946808545404,0,0,0,0,2,0,1,0,0,44,0,0,0,47
120016,39.0849102193563,-84.3946808545342,0,2,0,0,17,11,0,7,1,60,2,2,0,102
120017,39.0871602199356,-84.3946808545281,2,1,0,0,8,0,0,14,0,61,0,0,0,86
120018,39.0894102205146,-84.394680854522,0,0,0,0,7,0,1,2,0,79,0,0,1,90
120019,39.0916602210935,-84.3946808545158,0,15,1,0,27,4,1,14,1,158,19,5,1,246
120020,39.0939102216721,-84.3946808545097,0,6,0,0,24,5,0,9,1,107,6,0,1,159
120021,39.0961602222505,-84.3946808545035,0,1,0,0,10,2,3,34,0,98,3,2,0,153
120024,39.1029102239844,-84.3946808544851,0,1,0,0,13,0,0,10,0,22,0,0,0,46
120045,39.1501602360671,-84.3946808543562,0,10,0,0,30,6,0,16,0,117,9,0,0,188
120046,39.1524102366401,-84.3946808543501,3,40,0,0,117,1,2,22,2,209,7,0,2,405
120047,39.1546602372128,-84.3946808543439,2,24,0,0,61,11,2,35,0,183,8,0,1,327
120048,39.1569102377854,-84.3946808543378,5,32,0,0,66,2,2,30,1,77,29,1,0,245
120049,39.1591602383577,-84.3946808543317,1,24,0,0,48,1,1,17,0,151,33,0,0,276
120050,39.1614102389298,-84.3946808543255,0,24,0,5,85,0,1,22,0,206,0,2,5,350
